"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Check the Movistar.com","user can navigate and search results on Movistar.com","1","0","0","0","0"
"","RestCall basics","Rest Call POST","0","0","0","0","1"
"","Check the HomePage","user can search Shopery","1","1","0","0","0"
"","","","2","0","1","0","0"
"","Check the www.telefonica.com","user can navigate and search results in responsive mobile mode on www.telefonica.com","1","0","0","0","0"
"","Google Api books","User calls web service to get a book by it's ISBN","1","0","0","0","0"
"","RestCall basics","Rest Call GET","0","0","1","0","0"
"","Just a simple demo","Sum of two","0","0","3","0","0"
"","Check the HomePage","user can search XBOX","0","2","0","0","0"
"","Google Search","Search on Google","1","0","0","0","0"
